Creator Name,dance videos,comedy sketches,makeup tutorials,lifestyle,lip syncing,beatboxing,vlogs,parodies,magic tricks,video editing,music,reaction videos,beauty content,Creator ID,Username,Content,Followers,Likes,Comments,Shares,Views,Audience Age,Audience Gender,Audience Location,Video URL,Visual_Features
Khaby Lame,0.7417014,0.80073893,0.4963339,0.36178076,0.17379305,0.20544262,0.38094714,0.48738372,0.36990064,0.70809215,0.51283777,0.85067666,0.56080914,11,@khaby.lame,"comedy sketches, reaction videos",157100000,2300000000,700000,130000,35000000,13-24,"male, female",United States,['/content/drive/MyDrive/Tiktok_Project/Tiktok Videos/khabylame1.mp4'],"[array([0.32054085, 0.29918584, 0.43554312, ..., 0.27943593, 0.5233308 ,
       0.3239542 ], dtype=float32)]"
James Charles,0.5997057,0.347235,0.8651254,0.58386666,0.30318302,0.14732984,0.50309783,0.07563494,0.45933327,0.5845738,0.40499878,0.6214343,0.91422826,12,@jamescharles,"makeup tutorials, beauty content",37600000,1100000000,300000,60000,15000000,13-24,"male, female",United States,['/content/drive/MyDrive/Tiktok_Project/Tiktok Videos/jamescharles1.mp4'],"[array([0.2841724 , 0.39876372, 0.32563338, ..., 0.5049575 , 0.45071226,
       0.5214263 ], dtype=float32)]"
Noah Beck,0.53797716,0.28184316,0.5839281,0.6919951,0.16539648,0.1057392,0.7775495,0.112193696,0.26926666,0.5770503,0.3767301,0.64460367,0.8011075,13,@noahbeck,"vlogs, lifestyle content",34000000,2400000000,600000,120000,30000000,13-24,female,United States,['/content/drive/MyDrive/Tiktok_Project/Tiktok Videos/noahbeck1.mp4'],"[array([0.31112787, 0.23304808, 0.33344528, ..., 0.08649433, 0.2985064 ,
       0.4208467 ], dtype=float32)]"
Joja Siwa,0.7134528,0.4174683,0.3747967,0.43260777,0.21944015,0.261862,0.19867148,0.23125252,0.40317988,0.44503626,0.7859009,0.44274995,0.5146144,14,@itsjojasiwa,"music, dance vidoes",45900000,1800000000,500000,100000,20000000,13-24,female,United States,"['/content/drive/MyDrive/Tiktok_Project/Tiktok Videos/jojasiwa1.mp4', '/content/drive/MyDrive/Tiktok_Project/Tiktok Videos/jojasiwa2.mp4']","[array([0.20872478, 0.28982055, 0.23687898, ..., 0.2030157 , 0.34041655,
       0.31137663], dtype=float32), array([0.5230534 , 0.2557769 , 0.3553335 , ..., 0.30106694, 0.6918877 ,
       0.4828553 ], dtype=float32)]"
Loren Gray,0.68109536,0.45068192,0.40141553,0.7040349,0.13063778,0.26170412,0.29051593,0.23835737,0.2882823,0.48594263,0.90384686,0.4593176,0.59495246,15,@lorengray,"music, lifestyle ",54400000,300000000,50000,10000,1000000,13-24,"male, female",United States,"['/content/drive/MyDrive/Tiktok_Project/Tiktok Videos/lorengray1.mp4', '/content/drive/MyDrive/Tiktok_Project/Tiktok Videos/lorengray2.mp4']","[array([0.75888234, 0.18528813, 0.65106475, ..., 0.31378672, 1.101586  ,
       0.64860004], dtype=float32), array([0.56715596, 0.37042734, 0.705874  , ..., 0.23950425, 0.41151306,
       0.38451746], dtype=float32)]"
David Dobrik,0.5724076,0.8439238,0.49154344,0.32599097,0.17053284,0.20474307,0.70653903,0.53052247,0.38859832,0.5141399,0.4494564,0.48622155,0.4548968,16,@daviddobrik,"vlogs, comedy sketches",26300000,1300000000,130000,450000,9000000,13-24,"male, female",United States,"['/content/drive/MyDrive/Tiktok_Project/Tiktok Videos/daviddobrik1.mp4', '/content/drive/MyDrive/Tiktok_Project/Tiktok Videos/daviddobrik2.mp4']","[array([0.29066595, 0.38099813, 0.47911018, ..., 0.37423512, 0.384404  ,
       0.54884195], dtype=float32), array([0.25104567, 0.40076807, 0.29423591, ..., 0.3449861 , 0.3733729 ,
       0.46232927], dtype=float32)]"
Nikkie de Jager,0.5997057,0.347235,0.8651254,0.58386666,0.30318302,0.14732984,0.50309783,0.07563494,0.45933327,0.5845738,0.40499878,0.6214343,0.91422826,17,@nikkietutorials,"makeup tutorials, beauty content",7100000,179100000,50000,200000,4000000,18-34,female,United States,['/content/drive/MyDrive/Tiktok_Project/Tiktok Videos/nikkiedejaegar1.mp4'],"[array([0.20197785, 0.29713914, 0.72260046, ..., 0.23240006, 0.48885185,
       0.5144855 ], dtype=float32)]"
Brent Rivera,0.57240754,0.8439238,0.49154344,0.32599095,0.17053284,0.20474307,0.70653903,0.53052247,0.38859832,0.51413995,0.4494564,0.48622155,0.4548968,18,@brentrivera,"comedy sketches, vlogs",46700000,1500000000,90000,350000,7000000,13-24,"male, female",United States,['/content/drive/MyDrive/Tiktok_Project/Tiktok Videos/brentrivera1.mp4'],"[array([0.3298431 , 0.4102436 , 0.47189456, ..., 0.35496804, 0.49419633,
       0.48755804], dtype=float32)]"
Lele Pons,0.57240754,0.8439238,0.49154344,0.32599095,0.17053284,0.20474307,0.70653903,0.53052247,0.38859832,0.51413995,0.4494564,0.48622155,0.4548968,19,@lelepons,"comedy sketches, vlogs",31200000,678300000,120000,400000,8000000,18-24,"male, female",United States,['/content/drive/MyDrive/Tiktok_Project/Tiktok Videos/lelepons1.mp4'],"[array([0.37286603, 0.2870989 , 0.4237216 , ..., 0.28636912, 0.5044971 ,
       0.39884317], dtype=float32)]"
Avani Gregg,0.8873163,0.46523914,0.6308714,0.56395686,0.26647708,0.23647612,0.45385367,0.21170792,0.4532232,0.70299083,0.6264227,0.74807143,0.86996657,20,@avani,"dance videos, beauty content",43100000,300000000,70000,250000,5000000,13-17,"male, female",United States,['/content/drive/MyDrive/Tiktok_Project/Tiktok Videos/avani1.mp4'],"[array([0.3232128 , 0.3439602 , 0.2815009 , ..., 0.2568113 , 0.42728823,
       0.2725731 ], dtype=float32)]"
Josh Richards,0.91175425,0.4743718,0.6017578,0.4179215,0.25934777,0.25812975,0.7211662,0.27932256,0.40611562,0.6999156,0.594341,0.70590585,0.5954286,21,@joshrichards,"dance videos, vlogs",26000000,1900000000,85000,300000,6000000,18-24,"male, female",United States,['/content/drive/MyDrive/Tiktok_Project/Tiktok Videos/joshrichards1.mp4'],"[array([0.2815294 , 0.38588735, 0.31651422, ..., 0.19158183, 0.44437203,
       0.5320827 ], dtype=float32)]"
Huddy,0.900543,0.8312599,0.49738562,0.3659267,0.2187787,0.3107274,0.34978673,0.49503288,0.4524538,0.6553616,0.6646994,0.64085937,0.50455046,22,@huddy,"dance videos, comedy sketches",31900000,1700000000,80000,280000,5600000,18-24,"male, female",United States,['/content/drive/MyDrive/Tiktok_Project/Tiktok Videos/huddy1.mp4'],"[array([0.6472906 , 0.69571865, 0.45513877, ..., 0.5623455 , 0.4317372 ,
       0.6290856 ], dtype=float32)]"
